tambon_th,tambon_en,province_th,province_en,latitude,longitude,st_no,men,women
บางแก้ว,BangKaeo,นครปฐม,Nakhon Pathom,13.775,100.168,0,0,0
เทพกระษัตรี,ThepKrasattri,ภูเก็ต,Phuket,8.107,98.383,143,100,43
เทพกระษัตรี,ThepKrasattri,ภูเก็ต,Phuket,8.107,98.383,52,31,21
สูงเม่น,SungMen,แพร่,Phrae,18.059,100.087,1,0,1
สูงเม่น,SungMen,แพร่,Phrae,18.059,100.087,5,2,3
เกาะลิบง,KoLibong,ตรัง,Trang,7.373,99.295,5,3,2
บางไทร,BangSai,สุราษฎร์ธานี,Surat Thani,9.188,99.3,2,1,1
ไชโย,Chaiyo,อ่างทอง,Ang Thong,14.707,100.436,1,1,0
บางหัก,BangHak,ชลบุรี,Chon Buri,13.544,101.075,1,0,1
มะม่วงสองต้น,MamuangSongTon,นครศรีธรรมราช,Nakhon Si Thammarat,8.397,99.952,5,3,2
ท่าจีน,ThaChin,สมุทรสาคร,Samut Sakhon,13.539,100.252,103,46,57
งิ้วงาม,NgioNgam,สระบุรี,Saraburi,14.59,100.851,0,0,0
หันสัง,HanSang,พระนครศรีอยุธยา,Phra Nakhon Si Ayutthaya,14.512,100.517,7,4,3
ทุ่งกวาว,ThungKwao,แพร่,Phrae,18.165,100.154,9,6,3
สันทรายน้อย,SanSaiNoi,เชียงใหม่,Chiang Mai,18.819,99.024,504,311,193
หน้าถ้ำ,NaTham,ยะลา,Yala,6.525,101.225,0,0,0
บ้านควนมุด,BanKhuanMut,นครศรีธรรมราช,Nakhon Si Thammarat,8.028,99.924,0,0,0
หนองแค,NongKhae,สระบุรี,Saraburi,14.337,100.869,94,48,46
แม่ฮ้อยเงิน,MaeHoiNgoen,เชียงใหม่,Chiang Mai,18.805,99.149,17,11,6
ปานัน,PaNan,ปัตตานี,Pattani,6.721,101.334,1,1,0
พิมาน,Phiman,สตูล,Satun,6.615,100.071,49,32,17
ตลาดกรวด,TalatKruat,อ่างทอง,Ang Thong,14.619,100.478,2,0,2
บางกร่าง,BangKrang,นนทบุรี,Nonthaburi,13.835,100.438,71,39,32
บางกร่าง,BangKrang,นนทบุรี,Nonthaburi,13.835,100.438,10,5,5
หัวตะพาน,HuaTaphan,อ่างทอง,Ang Thong,14.583,100.387,1,0,1
ดีหลวง,DiLuang,สงขลา,Songkhla,7.58,100.406,0,0,0
ท่ากระชับ,ThaKrachap,นครปฐม,Nakhon Pathom,13.76,100.155,4,2,2
หลักฟ้า,LakFa,อ่างทอง,Ang Thong,14.684,100.462,1,1,0
ริมใต้,RimTai,เชียงใหม่,Chiang Mai,18.914,98.964,91,57,34
สนามจันทร์,SanamChan,นครปฐม,Nakhon Pathom,13.804,100.041,16,8,8
สนามจันทร์,SanamChan,นครปฐม,Nakhon Pathom,13.804,100.041,17,11,6
วัดจันทร์,WatChan,พิษณุโลก,Phitsanulok,16.812,100.225,19,16,3
ยางเนิ้ง,YangNoeng,เชียงใหม่,Chiang Mai,18.707,99.036,70,46,24
บางกระบือ,BangKrabue,ปทุมธานี,Pathum Thani,14.103,100.538,2,2,0
บางประแดง,BangPradaeng,พระนครศรีอยุธยา,Phra Nakhon Si Ayutthaya,14.288,100.544,8,6,2
หน้าเมือง,NaMueang,ปราจีนบุรี,Prachin Buri,14.057,101.374,60,36,24
สองแคว,SongKhwae,เชียงใหม่,Chiang Mai,18.504,98.841,24,15,9
ตลาดใหญ่,TalatYai,ภูเก็ต,Phuket,7.888,98.394,218,119,99
นาโยงใต้,NaYongTai,ตรัง,Trang,7.571,99.669,6,4,2
บ้านคลัง,BanKhlang,พระนครศรีอยุธยา,Phra Nakhon Si Ayutthaya,14.347,100.457,0,0,0
สาบัน,Saban,ปัตตานี,Pattani,6.82,101.439,2,1,1
บ้านโพธิ์,BanPho,ฉะเชิงเทรา,Chachoengsao,13.588,101.086,30,16,14
กระแสสินธุ์,KrasaeSin,สงขลา,Songkhla,7.609,100.307,3,1,2
หนองควายโซ,NongKhwaiSo,สระบุรี,Saraburi,14.487,100.795,3,3,0
หนองควายโซ,NongKhwaiSo,สระบุรี,Saraburi,14.487,100.795,4,3,1
ระแหง,,ตาก,Tak,16.862,99.129,141,72,69
เทศบาลนครสมุทรปราการ,,สมุทรปราการ,Samut Prakarn,13.593,100.597,328,187,141
ท่าช้าง,ThaChang,เพชรบุรี,Phetchaburi,13.057,99.898,3,1,2
ท่าพลับ,ThaPhlap,ฉะเชิงเทรา,Chachoengsao,13.616,101.075,1,1,0
แขวงบางมด,,กรุงเทพมหานคร,Bangkok,13.672,100.468,295,146,149
ภาชี,Phachi,พระนครศรีอยุธยา,Phra Nakhon Si Ayutthaya,14.442,100.725,0,0,0
ภาชี,Phachi,พระนครศรีอยุธยา,Phra Nakhon Si Ayutthaya,14.442,100.725,25,10,15
บางเขน,BangKhen,นนทบุรี,Nonthaburi,13.835,100.516,197,112,85
หนองกลางนา,NongKlangNa,ราชบุรี,Ratchaburi,13.593,99.796,40,19,21
ปุลากง,Pulakong,ปัตตานี,Pattani,6.769,101.391,0,0,0
วิหารขาว,WihanKhao,สิงห์บุรี,Sing Buri,14.801,100.409,0,0,0
ค้อใหญ่,KhoYai,ร้อยเอ็ด,Roi Et,15.6,104.139,0,0,0
บางระกำ,BangRakam,อ่างทอง,Ang Thong,14.691,100.428,3,2,1
บ้านอิฐ,BanIt,อ่างทอง,Ang Thong,14.583,100.476,5,4,1
บ้านอิฐ,BanIt,อ่างทอง,Ang Thong,14.583,100.476,0,0,0
บ้านทราย,BanSai,ลพบุรี,Lop Buri,15.034,100.582,2,2,0
สนามชัย,SanamChai,สงขลา,Songkhla,7.547,100.417,4,3,1
หน้าโคก,NaKhok,พระนครศรีอยุธยา,Phra Nakhon Si Ayutthaya,14.49,100.351,0,0,0
หน้าโคก,NaKhok,พระนครศรีอยุธยา,Phra Nakhon Si Ayutthaya,14.49,100.351,0,0,0
บ้านแป้ง,BanPaeng,พระนครศรีอยุธยา,Phra Nakhon Si Ayutthaya,14.232,100.507,0,0,0
หัวเขา,HuaKhao,สงขลา,Songkhla,7.214,100.567,5,5,0
พิบูล,Phibun,อุบลราชธานี,Ubon Ratchathani,15.248,105.226,23,13,10
พุนพิน,Phunphin,สุราษฎร์ธานี,Surat Thani,9.125,99.199,4,3,1
บ้านคลอง,BanKhlong,พิษณุโลก,Phitsanulok,16.83,100.239,14,7,7
บางจาก,BangChak,เพชรบุรี,Phetchaburi,13.158,99.891,0,0,0
แขวงดินแดง,,กรุงเทพมหานคร,Bangkok,13.778,100.567,614,328,286
เจ้าเจ็ด,ChaoChet,พระนครศรีอยุธยา,Phra Nakhon Si Ayutthaya,14.303,100.378,0,0,0
เจ้าเจ็ด,ChaoChet,พระนครศรีอยุธยา,Phra Nakhon Si Ayutthaya,14.303,100.378,33,16,17
วัดยม,WatYom,พระนครศรีอยุธยา,Phra Nakhon Si Ayutthaya,14.26,100.568,0,0,0
ทับน้ำ,ThapNam,พระนครศรีอยุธยา,Phra Nakhon Si Ayutthaya,14.464,100.508,1,1,0
มะเริง,Maroeng,นครราชสีมา,Nakhon Ratchasima,14.98,102.164,15,13,2
คลองสะแก,KhlongSakae,พระนครศรีอยุธยา,Phra Nakhon Si Ayutthaya,14.424,100.604,4,3,1
ดอนมูล,DonMun,แพร่,Phrae,18.067,100.126,3,3,0
หันตรา,HanTra,พระนครศรีอยุธยา,Phra Nakhon Si Ayutthaya,14.371,100.6,5,5,0
หันตรา,HanTra,พระนครศรีอยุธยา,Phra Nakhon Si Ayutthaya,14.371,100.6,2,1,1
หันตรา,HanTra,พระนครศรีอยุธยา,Phra Nakhon Si Ayutthaya,14.371,100.6,1,0,1
แม่ลา,MaeLa,พระนครศรีอยุธยา,Phra Nakhon Si Ayutthaya,14.503,100.619,0,0,0
วังพิณพาทย์,WangPhinPhat,สุโขทัย,Sukhothai,17.335,99.815,0,0,0
บ้านใหม่,BanMai,พระนครศรีอยุธยา,Phra Nakhon Si Ayutthaya,14.39,100.521,2,1,1
สามพราน,SamPhran,นครปฐม,Nakhon Pathom,13.716,100.219,167,82,85
สามพราน,SamPhran,นครปฐม,Nakhon Pathom,13.716,100.219,43,24,19
ขัวมุง,KhuaMung,เชียงใหม่,Chiang Mai,18.678,98.991,84,49,35
ในเมือง,NaiMueang,นครศรีธรรมราช,Nakhon Si Thammarat,8.408,99.972,52,33,19
วังตะกู,WangTaku,นครปฐม,Nakhon Pathom,13.857,100.014,28,9,19
ไทรน้อย,SaiNoi,พระนครศรีอยุธยา,Phra Nakhon Si Ayutthaya,14.407,100.486,2,0,2
โพพระ,PhoPhra,เพชรบุรี,Phetchaburi,13.082,100.039,0,0,0
ขุนคง,KhunKhong,เชียงใหม่,Chiang Mai,18.673,98.956,89,49,40
สามกอ,SamKo,พระนครศรีอยุธยา,Phra Nakhon Si Ayutthaya,14.306,100.399,73,39,34
ท่าตำหนัก,ThaTamnak,นครปฐม,Nakhon Pathom,13.766,100.18,13,8,5
ท่าตำหนัก,ThaTamnak,นครปฐม,Nakhon Pathom,13.766,100.18,2,1,1
ศาลาแดง,SalaDaeng,อ่างทอง,Ang Thong,14.599,100.445,4,2,2
ศาลาแดง,SalaDaeng,อ่างทอง,Ang Thong,14.599,100.445,7,4,3
แสนพัน,SaenPhan,นครพนม,Nakhon Phanom,17.066,104.749,22,11,11
บางหัก,BangHak,พระนครศรีอยุธยา,Phra Nakhon Si Ayutthaya,14.436,100.439,1,0,1
ในเมือง,NaiMueang,นครพนม,Nakhon Phanom,17.409,104.781,223,95,128
สำราญราษฎร์,SamranRat,เชียงใหม่,Chiang Mai,18.807,99.095,86,44,42
พะเนา,Phanao,นครราชสีมา,Nakhon Ratchasima,14.986,102.189,4,3,1
ทางพระ,ThangPhra,อ่างทอง,Ang Thong,14.677,100.36,4,0,4
แม่กลอง,MaeKlong,สมุทรสงคราม,Samut Songkhram,13.4,99.994,346,173,173
พระยาทด,PhrayaThot,สระบุรี,Saraburi,14.572,100.871,4,0,4
ยายร้า,YaiRa,จันทบุรี,Chanthaburi,12.612,102.027,4,1,3
ดอนรัก,DonRak,ปัตตานี,Pattani,6.848,101.22,2,2,0
บางปรอก,BangProk,ปทุมธานี,Pathum Thani,14.012,100.528,335,166,169
ดอนกระเบื้อง,DonKrabueang,ราชบุรี,Ratchaburi,13.752,99.899,39,12,27
วัดจันทร์,WatChan,สงขลา,Songkhla,7.382,100.461,3,1,2
ช่อแล,ChoLae,เชียงใหม่,Chiang Mai,19.144,99.024,44,26,18
โพไร่หวาน,PhoRaiWan,เพชรบุรี,Phetchaburi,13.053,99.974,14,6,8
หลุมดิน,LumDin,ราชบุรี,Ratchaburi,13.571,99.808,33,17,16
ไผ่ดำพัฒนา,PhaiDamPatthana,อ่างทอง,Ang Thong,14.529,100.392,5,3,2
ถ้ำรงค์,ThamRong,เพชรบุรี,Phetchaburi,13.022,99.911,2,0,2
ปากคลองบางปลากด,PakKhlongBangPlaKot,สมุทรปราการ,Samut Prakarn,13.606,100.567,162,87,75
โกตาบารู,KotaBaru,ยะลา,Yala,6.452,101.345,2,2,0
บางยี่รงค์,BangYiRong,สมุทรสงคราม,Samut Songkhram,13.481,99.912,3,2,1
ศาลาลอย,SalaLoi,พระนครศรีอยุธยา,Phra Nakhon Si Ayutthaya,14.532,100.7,3,3,0
สารภี,Saraphi,เชียงใหม่,Chiang Mai,18.681,99.047,132,70,62
สารภี,Saraphi,เชียงใหม่,Chiang Mai,18.681,99.047,4,1,3
สี่หมื่น,SiMuen,ราชบุรี,Ratchaburi,13.522,99.929,3,1,2
สี่หมื่น,SiMuen,ราชบุรี,Ratchaburi,13.522,99.929,0,0,0
ธรรมศาลา,Thammasala,นครปฐม,Nakhon Pathom,13.807,100.105,6,5,1
ธรรมศาลา,Thammasala,นครปฐม,Nakhon Pathom,13.807,100.105,30,21,9
กระดังงา,KradangNga,สงขลา,Songkhla,7.509,100.427,1,1,0
ดอนไก่ดี,DonKaiDi,สมุทรสาคร,Samut Sakhon,13.633,100.266,269,135,134
เทศบาลเมืองทุ่งสง-ปากแพรก,PakPhraek,นครศรีธรรมราช,Nakhon Si Thammarat,8.168,99.689,19,13,6
ไทยาวาส,Thaiyawat,นครปฐม,Nakhon Pathom,13.793,100.215,10,5,5
บางพระครู,BangPhrakhru,พระนครศรีอยุธยา,Phra Nakhon Si Ayutthaya,14.483,100.613,2,1,1
บางพระครู,BangPhrakhru,พระนครศรีอยุธยา,Phra Nakhon Si Ayutthaya,14.483,100.613,0,0,0
แคราย,KhaeRai,สมุทรสาคร,Samut Sakhon,13.643,100.324,178,90,88
บ้านแป้ง,BanPaeng,สิงห์บุรี,Sing Buri,14.811,100.458,2,1,1
ม่วงงาม,MuangNgam,สระบุรี,Saraburi,14.544,100.807,1,0,1
แขวงสามเสนใน,,กรุงเทพมหานคร,Bangkok,13.782,100.545,199,117,82
สะกำ,Sakam,ปัตตานี,Pattani,6.72,101.462,2,0,2
ท่าตอ,ThaTo,พระนครศรีอยุธยา,Phra Nakhon Si Ayutthaya,14.556,100.511,0,0,0
ตลิ่งชัน,TalingChan,พระนครศรีอยุธยา,Phra Nakhon Si Ayutthaya,14.25,100.642,2,1,1
สะนอ,Sano,ปัตตานี,Pattani,6.789,101.323,0,0,0
ป่าโมก,PaMok,อ่างทอง,Ang Thong,14.501,100.437,19,11,8
ห้วยใหญ่,HuaiYai,ลพบุรี,Lop Buri,15.169,100.793,0,0,0
ท่าแร้ง,ThaRaeng,เพชรบุรี,Phetchaburi,13.159,99.96,3,3,0
ไชยภูมิ,Chaiyaphum,อ่างทอง,Ang Thong,14.705,100.465,9,5,4
นครหลวง,NakhonLuang,พระนครศรีอยุธยา,Phra Nakhon Si Ayutthaya,14.469,100.622,4,3,1
ลำพยา,LamPhaya,นครปฐม,Nakhon Pathom,13.811,100.019,42,26,16
ลำพยา,LamPhaya,นครปฐม,Nakhon Pathom,13.811,100.019,15,11,4
ท่าช้าง,ThaChang,สระบุรี,Saraburi,14.586,100.863,1,0,1
พิตเพียน,PhitPhian,พระนครศรีอยุธยา,Phra Nakhon Si Ayutthaya,14.608,100.544,1,1,0
บ้านใหม่,BanMai,ปทุมธานี,Pathum Thani,13.963,100.553,47,27,20
บางพูด,BangPhut,นนทบุรี,Nonthaburi,13.927,100.516,268,144,124
อุทัยใหม่,UthaiMai,อุทัยธานี,Uthai Thani,15.375,100.031,40,22,18
ลาดบัวขาว,LatBuaKhao,ราชบุรี,Ratchaburi,13.841,99.831,7,2,5
ตาแกะ,TaKae,ปัตตานี,Pattani,6.844,101.336,4,2,2
อ้อมใหญ่,OmYai,นครปฐม,Nakhon Pathom,13.7,100.268,214,105,109
ตำหรุ,Tamru,เพชรบุรี,Phetchaburi,13.027,99.893,9,8,1
แคตก,KhaeTok,พระนครศรีอยุธยา,Phra Nakhon Si Ayutthaya,14.287,100.48,3,3,0
ท่าวังพร้าว,ThaWangPhrao,เชียงใหม่,Chiang Mai,18.531,98.864,3,2,1
ท่าวังพร้าว,ThaWangPhrao,เชียงใหม่,Chiang Mai,18.531,98.864,4,1,3
หัวป่า,HuaPa,สิงห์บุรี,Sing Buri,14.831,100.425,1,0,1
บ้านกลาง,BanKlang,ปทุมธานี,Pathum Thani,14.001,100.558,59,37,22
ราชสถิตย์,Ratsathit,อ่างทอง,Ang Thong,14.672,100.456,4,1,3
ทรงคนอง,SongKhanong,นครปฐม,Nakhon Pathom,13.78,100.262,42,16,26
บ่อดาน,Bodan,สงขลา,Songkhla,7.435,100.447,1,1,0
ศรีบุญเรือง,SiBunrueang,มุกดาหาร,Mukdahan,16.53,104.724,111,53,58
ปิตูมุดี,PituMudi,ปัตตานี,Pattani,6.743,101.284,1,0,1
ปิตูมุดี,PituMudi,ปัตตานี,Pattani,6.743,101.284,0,0,0
กาญจนา,Kanchana,แพร่,Phrae,18.123,100.184,1,0,1
เกาะเกิด,KoKoet,พระนครศรีอยุธยา,Phra Nakhon Si Ayutthaya,14.206,100.539,2,1,1
แขวงฉิมพลี,,กรุงเทพมหานคร,Bangkok,13.786,100.432,79,41,38
บางซ่อน,BangSon,ฉะเชิงเทรา,Chachoengsao,13.558,101.058,0,0,0
เมืองเล็น,MueangLen,เชียงใหม่,Chiang Mai,18.896,99.08,808,411,397
บางพูน,BangPhun,ปทุมธานี,Pathum Thani,13.988,100.594,74,47,27
หนองนกไข่,NongNokKhai,สมุทรสาคร,Samut Sakhon,13.668,100.192,63,31,32
อรัญประเทศ,AranyaPrathet,สระแก้ว,Sa kaeo,13.68,102.517,720,377,343
แขวงหลักสอง,,กรุงเทพมหานคร,Bangkok,13.683,100.396,335,178,157
บางเก่า,BangKao,ปัตตานี,Pattani,6.764,101.591,0,0,0
ท่าข้าม,ThaKham,ปัตตานี,Pattani,6.838,101.477,4,1,3
พรหมบุรี,PhromBuri,สิงห์บุรี,Sing Buri,14.837,100.451,5,3,2
บางสวน,BangSuan,ฉะเชิงเทรา,Chachoengsao,13.696,101.177,4,0,4
บางน้ำเชี่ยว,BangNamChiao,สิงห์บุรี,Sing Buri,14.783,100.458,0,0,0
บางน้ำเชี่ยว,BangNamChiao,สิงห์บุรี,Sing Buri,14.783,100.458,18,11,7
ชัยฤทธิ์,Chaiyarit,อ่างทอง,Ang Thong,14.637,100.472,1,1,0
ชัยฤทธิ์,Chaiyarit,อ่างทอง,Ang Thong,14.637,100.472,0,0,0
หนองกระเจ็ด,NongKrachet,เพชรบุรี,Phetchaburi,13.001,99.953,1,1,0
บ้านแพน,BanPhaen,พระนครศรีอยุธยา,Phra Nakhon Si Ayutthaya,14.342,100.417,6,3,3
ยางหย่อง,YangYong,เพชรบุรี,Phetchaburi,12.99,99.883,3,1,2
เทวราช,Thewarat,อ่างทอง,Ang Thong,14.646,100.449,2,2,0
หนองหัวโพ,NongHuaPho,สระบุรี,Saraburi,14.483,100.817,6,3,3
โคกสลุด,KhokSalut,ลพบุรี,Lop Buri,14.881,100.482,3,2,1
ขุนแก้ว,KhunKaeo,นครปฐม,Nakhon Pathom,13.774,100.209,19,11,8
ทับตีเหล็ก,ThapTiLek,สุพรรณบุรี,Suphan Buri,14.434,100.108,7,6,1
พระขาว,PhraKhao,พระนครศรีอยุธยา,Phra Nakhon Si Ayutthaya,14.328,100.482,4,1,3
หนองโสน,NongSano,เพชรบุรี,Phetchaburi,13.134,99.973,9,3,6
บ้านโพธิ์,BanPho,พระนครศรีอยุธยา,Phra Nakhon Si Ayutthaya,14.351,100.394,2,1,1
บาโงย,Ba-Ngoi,ยะลา,Yala,6.473,101.349,0,0,0
เชียงรากน้อย,ChiangRakNoi,พระนครศรีอยุธยา,Phra Nakhon Si Ayutthaya,14.134,100.561,1,1,0
โพสะ,PhoSa,อ่างทอง,Ang Thong,14.542,100.457,12,4,8
โพสะ,PhoSa,อ่างทอง,Ang Thong,14.542,100.457,1,1,0
บ้านใหม่,BanMai,นครปฐม,Nakhon Pathom,13.69,100.242,12,8,4
บ้านใหม่,BanMai,นครปฐม,Nakhon Pathom,13.69,100.242,25,13,12
หมากแข้ง,MakKhaeng,อุดรธานี,Udon Thani,17.411,102.792,1256,800,456
โนนเหล็ก,NonLek,อุทัยธานี,Uthai Thani,15.462,99.985,1,1,0
บ้านกลาง,BanKlang,นครศรีธรรมราช,Nakhon Si Thammarat,8.156,100.197,0,0,0
ลาดขวาง,LatKhwang,ฉะเชิงเทรา,Chachoengsao,13.605,101.023,7,4,3
หนองจิก,NongChik,สระบุรี,Saraburi,14.441,100.866,3,2,1
ท่าโพ,ThaPho,อุทัยธานี,Uthai Thani,15.369,99.984,2,1,1
อ่าวนาง,AoNang,กระบี่,Krabi,7.741,98.783,207,154,53
หนองแฝก,NongFaek,เชียงใหม่,Chiang Mai,18.691,99.019,97,50,47
หลวงเหนือ,LuangNuea,ลำปาง,Lampang,18.752,99.996,10,7,3
เริงราง,RoengRang,สระบุรี,Saraburi,14.558,100.786,2,1,1
เสาธงหิน,SaoThongHin,นนทบุรี,Nonthaburi,13.875,100.404,170,93,77
เสาธงหิน,SaoThongHin,นนทบุรี,Nonthaburi,13.875,100.404,2,1,1
ไทรโรงโขน,SaiRongKhon,พิจิตร,Phichit,16.168,100.421,3,3,0
โผงเผง,PhongPheng,อ่างทอง,Ang Thong,14.455,100.442,8,3,5
ยอดชาด,KhokSi,นครพนม,Nakhon Phanom,17.065,104.482,1,1,0
แขวงบางระมาด,,กรุงเทพมหานคร,Bangkok,13.767,100.431,115,72,43
คลองคูณ,KhlongKhun,พิจิตร,Phichit,16.176,100.395,4,3,1
ดอน,Don,ปัตตานี,Pattani,6.786,101.482,0,0,0
บ่อแดง,Bodaeng,สงขลา,Songkhla,7.406,100.454,0,0,0
พ้อแดง,PhoDaeng,ชุมพร,Chumphon,9.926,99.099,2,2,0
พ้อแดง,PhoDaeng,ชุมพร,Chumphon,9.926,99.099,0,0,0
แขวงทรายกองดิน,,กรุงเทพมหานคร,Bangkok,13.854,100.745,47,23,24
ดอนพุด,DonPhut,สระบุรี,Saraburi,14.596,100.621,1,0,1
บ้านกระทุ่ม,BanKrathum,พระนครศรีอยุธยา,Phra Nakhon Si Ayutthaya,14.39,100.383,0,0,0
บ้านโพ,BanPho,พระนครศรีอยุธยา,Phra Nakhon Si Ayutthaya,14.272,100.588,4,2,2
มุจลินท์,Mutchalin,ลพบุรี,Lop Buri,14.876,100.509,0,0,0
ป่าซาง,PaSang,ลำพูน,Lamphun,18.512,98.937,32,21,11
หนองกระทุ่ม,NongKrathum,นครราชสีมา,Nakhon Ratchasima,15.009,102.086,16,10,6
เทพารักษ์,,สมุทรปราการ,Samut Prakarn,13.634,100.61,46,22,24
เทพารักษ์,,สมุทรปราการ,Samut Prakarn,13.634,100.61,80,45,35
เทพารักษ์,,สมุทรปราการ,Samut Prakarn,13.634,100.61,73,50,23
มาบปลาเค้า,MapPlaKhao,เพชรบุรี,Phetchaburi,12.981,99.929,1,1,0
บ้านเกาะ,BanKo,พระนครศรีอยุธยา,Phra Nakhon Si Ayutthaya,14.389,100.582,9,4,5
บ้านเกาะ,BanKo,พระนครศรีอยุธยา,Phra Nakhon Si Ayutthaya,14.389,100.582,2,1,1
เกาะเทโพ,KoThepho,อุทัยธานี,Uthai Thani,15.35,100.088,4,1,3
บ้านหลวง,BanLuang,พระนครศรีอยุธยา,Phra Nakhon Si Ayutthaya,14.278,100.401,4,1,3
ห้วยเกิ้ง,HuaiKoeng,อุดรธานี,Udon Thani,17.044,102.934,11,11,0
ม่วงหมู่,MuangMu,สิงห์บุรี,Sing Buri,14.869,100.432,2,1,1
ม่วงหมู่,MuangMu,สิงห์บุรี,Sing Buri,14.869,100.432,1,1,0
ราชคราม,Ratchakhram,พระนครศรีอยุธยา,Phra Nakhon Si Ayutthaya,14.186,100.519,15,8,7
หนองแซง,NongSaeng,สระบุรี,Saraburi,14.51,100.759,0,0,0
หนองแซง,NongSaeng,สระบุรี,Saraburi,14.51,100.759,2,2,0
บางผึ้ง,BangPhueng,ฉะเชิงเทรา,Chachoengsao,13.527,101.054,0,0,0
อ่างแก้ว,AngKaeo,อ่างทอง,Ang Thong,14.666,100.393,5,2,3
อ่างแก้ว,AngKaeo,อ่างทอง,Ang Thong,14.666,100.393,3,2,1
หนองกบ,NongKop,สระบุรี,Saraburi,14.456,100.776,1,0,1
โคกหม้อ,KhokMo,ราชบุรี,Ratchaburi,13.571,99.834,61,37,24
ตาอุด,TaUt,ศรีสะเกษ,Si Sa Ket,14.669,104.271,6,6,0
เกษมทรัพย์,KasemSap,นครราชสีมา,Nakhon Ratchasima,14.663,102.046,3,2,1
บ้านช้าง,BanChang,พระนครศรีอยุธยา,Phra Nakhon Si Ayutthaya,14.322,100.68,2,1,1
โพประจักษ์,PhoPrachak,สิงห์บุรี,Sing Buri,14.774,100.36,6,4,2
พลอยแหวน,PhloiWaen,จันทบุรี,Chanthaburi,12.617,102.053,2,1,1
บางเดื่อ,BangDuea,พระนครศรีอยุธยา,Phra Nakhon Si Ayutthaya,14.436,100.576,2,1,1
บางเตย,BangToei,นครปฐม,Nakhon Pathom,13.787,100.289,34,23,11
สัมปทวน,Sampathuan,นครปฐม,Nakhon Pathom,13.83,100.195,30,14,16
สีพยา,SiPhaya,จันทบุรี,Chanthaburi,12.578,102.029,4,2,2
มะขามหลวง,MakhamLuang,เชียงใหม่,Chiang Mai,18.601,98.907,16,7,9
มะขามหลวง,MakhamLuang,เชียงใหม่,Chiang Mai,18.601,98.907,0,0,0
มะขามหลวง,MakhamLuang,เชียงใหม่,Chiang Mai,18.601,98.907,10,5,5
ในเมือง,NaiMueang,พิจิตร,Phichit,16.443,100.343,55,36,19
ไร่ส้ม,RaiSom,เพชรบุรี,Phetchaburi,13.112,99.916,4,3,1
หนองปลิง,NongPling,พระนครศรีอยุธยา,Phra Nakhon Si Ayutthaya,14.423,100.64,0,0,0
ป่าบอน,PaBon,ปัตตานี,Pattani,6.701,101.116,4,4,0
เวียงเหนือสวนดอกสบตุ๋ยอยู่นอก1ตำบลคือหัวเ*,,ลำปาง,Lampang,18.29,99.492,27,12,15
โก่งธนู,KongThanu,ลพบุรี,Lop Buri,14.674,100.597,1,1,0
บางเล่า,BangLao,ฉะเชิงเทรา,Chachoengsao,13.721,101.15,4,1,3
หนองโพ,NongPho,ราชบุรี,Ratchaburi,13.741,99.924,5,3,2
หนองโพ,NongPho,ราชบุรี,Ratchaburi,13.741,99.924,13,3,10
มหาดไทย,Mahatthai,อ่างทอง,Ang Thong,14.568,100.4,1,0,1
บ้านขวาง,BanKhwang,พระนครศรีอยุธยา,Phra Nakhon Si Ayutthaya,14.576,100.518,2,1,1
ท่าพระยา,ThaPhraya,นครปฐม,Nakhon Pathom,13.785,100.144,2,1,1
เวียง,Wiang,พะเยา,Phayao,19.495,100.327,10,4,6
สำมะโรง,SamMarong,เพชรบุรี,Phetchaburi,13.07,99.992,4,1,3
สี่ร้อย,SiRoi,อ่างทอง,Ang Thong,14.55,100.37,0,0,0
สี่ร้อย,SiRoi,อ่างทอง,Ang Thong,14.55,100.37,1,1,0
ขุนตัดหวาย,KhunTatWai,สงขลา,Songkhla,6.794,100.7,9,4,5
แม่ไร่,MaeRai,เชียงราย,Chiang Rai,20.256,99.864,1783,790,993
บางแก้วฟ้า,BangKaeoFa,นครปฐม,Nakhon Pathom,13.896,100.247,12,5,7
บางเสด็จ,BangSadet,อ่างทอง,Ang Thong,14.461,100.473,8,4,4
พุทเลา,PhutLao,พระนครศรีอยุธยา,Phra Nakhon Si Ayutthaya,14.419,100.525,1,1,0
ศาลเจ้าโรงทอง,SanChaoRongThong,อ่างทอง,Ang Thong,14.597,100.34,13,8,5
ศาลเจ้าโรงทอง,SanChaoRongThong,อ่างทอง,Ang Thong,14.597,100.34,20,12,8
สายทอง,SaiThong,อ่างทอง,Ang Thong,14.513,100.484,2,1,1
ท้ายบ้านใหม่,,สมุทรปราการ,Samut Prakarn,13.572,100.621,,,
พระแก้ว,PhraKaeo,พระนครศรีอยุธยา,Phra Nakhon Si Ayutthaya,14.44,100.675,3,2,1
ขันเงิน,KhanNgoen,ชุมพร,Chumphon,9.934,99.074,14,9,5
ผักไห่,PhakHai,พระนครศรีอยุธยา,Phra Nakhon Si Ayutthaya,14.462,100.379,3,2,1
ผักไห่,PhakHai,พระนครศรีอยุธยา,Phra Nakhon Si Ayutthaya,14.462,100.379,6,3,3
บ้านแป้ง,BanPaeng,พระนครศรีอยุธยา,Phra Nakhon Si Ayutthaya,14.239,100.557,0,0,0
หนองสรวง,NongSuang,อุทัยธานี,Uthai Thani,15.372,99.81,5,3,2
หนองสรวง,NongSuang,อุทัยธานี,Uthai Thani,15.372,99.81,0,0,0
