tambon_th,tambon_en,province_th,province_en,latitude,longitude,st_no,men,women
ห้างสูง,HangSung,ชลบุรี,Chon Buri,13.243,101.347,18,9,9
บ้านยาง,BanYang,บุรีรัมย์,Buri Ram,14.873,102.886,2,2,0
วังไก่เถื่อน,WangKaiThuean,ชัยนาท,Chai Nat,15.004,100.056,16,8,8
เวียง,Wiang,เชียงราย,Chiang Rai,20.305,100.081,2164,922,1242
เวียง,Wiang,เชียงราย,Chiang Rai,20.305,100.081,1487,715,772
โพธิ์ทอง,PhoThong,ร้อยเอ็ด,Roi Et,16.322,103.92,7,6,1
ซึ้ง,Sueng,จันทบุรี,Chanthaburi,12.487,102.288,14,8,6
พรสวรรค์,PhonSawan,อุบลราชธานี,Ubon Ratchathani,14.627,105.18,5,5,0
หัวดง,,พิจิตร,Phichit,16.332,100.441,0,0,0
หัวดง,,พิจิตร,Phichit,16.332,100.441,13,9,4
ใหม่พัฒนา,MaiPhatthana,ลำปาง,Lampang,18.254,99.318,8,6,2
ท้องเนียน,ThongNian,นครศรีธรรมราช,Nakhon Si Thammarat,9.28,99.814,30,19,11
น้ำปลีก,NamPlik,อำนาจเจริญ,Amnat Charoen,15.811,104.46,6,4,2
น้ำปลีก,NamPlik,อำนาจเจริญ,Amnat Charoen,15.811,104.46,9,8,1
ตะโกตาพิ,TakoTaphi,บุรีรัมย์,Buri Ram,14.638,102.981,17,13,4
โนนค้อ,NonKho,อุบลราชธานี,Ubon Ratchathani,14.672,105.307,6,3,3
บ้านเอื้อง,BanUeang,นครพนม,Nakhon Phanom,17.548,104.232,8,6,2
น้ำปาย,NamPai,น่าน,Nan,18.641,100.961,2,0,2
ยางอู้ม,YangUm,กาฬสินธุ์,Kalasin,16.902,103.286,1,1,0
ยี่สาร,YiSan,สมุทรสงคราม,Samut Songkhram,13.297,99.895,5,2,3
สวายจึก,SawaiChik,บุรีรัมย์,Buri Ram,14.896,103.146,16,11,5
โคกสูง,KhokSung,นครพนม,Nakhon Phanom,17.178,104.413,5,2,3
เขาวงกต,KhaoWongkot,จันทบุรี,Chanthaburi,12.881,101.848,21,11,10
สะแบง,Sabaeng,อุดรธานี,Udon Thani,17.453,103.116,8,8,0
ขอนหาด,KhonHat,นครศรีธรรมราช,Nakhon Si Thammarat,7.872,100.059,1,1,0
วังดาล,WangDan,ปราจีนบุรี,Prachin Buri,14.006,101.645,7,5,2
โนนสะอาด,NonSa-At,สกลนคร,Sakon Nakhon,17.929,103.653,7,5,2
เทพนิมิต,ThepNimit,ตราด,Trat,12.469,102.435,27,21,6
น้ำเกลี้ยง,NamKliang,ศรีสะเกษ,Si Sa Ket,14.917,104.55,3,2,1
หนองแค,NongKhae,ศรีสะเกษ,Si Sa Ket,15.38,104.106,3,2,1
นิคม,Nikhom,บุรีรัมย์,Buri Ram,15.274,103.225,2,2,0
นิคม,Nikhom,บุรีรัมย์,Buri Ram,15.274,103.225,33,23,10
